age,job,marital,education,balance,housing,loan,deposit
41,blue-collar,divorced,secondary,174,yes,no,no
40,technician,single,secondary,591,no,yes,no
50,blue-collar,divorced,primary,388,no,no,no
40,unemployed,married,secondary,219,yes,no,no
27,admin.,divorced,secondary,451,yes,no,yes
60,retired,married,primary,5,no,no,no
28,admin.,single,secondary,177,yes,yes,no
52,services,married,secondary,657,no,no,yes
37,management,married,tertiary,1315,no,no,yes
51,blue-collar,married,primary,1466,yes,no,no
41,technician,single,secondary,879,no,yes,no
35,blue-collar,single,primary,293,yes,no,no
38,admin.,married,secondary,424,yes,no,no
34,blue-collar,married,secondary,1831,yes,no,no
39,blue-collar,married,primary,111,no,no,no
34,blue-collar,married,primary,455,yes,no,no
27,services,single,secondary,-195,yes,no,yes
32,management,single,tertiary,3616,no,no,no
57,blue-collar,married,secondary,14093,no,no,no
41,unknown,single,tertiary,1567,no,no,no
41,admin.,married,tertiary,5426,yes,no,no
30,admin.,single,tertiary,261,no,no,no
36,blue-collar,divorced,secondary,2843,no,no,no
31,unemployed,single,primary,406,no,no,yes
36,blue-collar,married,secondary,0,yes,no,no
38,management,single,tertiary,493,yes,no,no
49,technician,married,secondary,5996,no,no,no
57,services,single,primary,3777,yes,no,no
34,management,single,secondary,524,no,no,no
32,management,single,tertiary,574,yes,no,no
37,blue-collar,married,secondary,427,yes,yes,no
33,self-employed,married,tertiary,483,yes,no,no
56,unemployed,married,primary,3391,no,no,yes
27,housemaid,married,primary,0,yes,no,no
21,student,single,secondary,2488,no,no,yes
58,management,married,tertiary,1517,yes,no,no
32,self-employed,married,secondary,217,yes,yes,no
33,blue-collar,single,secondary,22,no,no,no
25,student,single,secondary,331,no,no,yes
25,technician,single,secondary,505,no,yes,yes
30,services,married,secondary,1808,yes,no,no
22,admin.,single,secondary,4111,no,yes,no
39,blue-collar,married,primary,52,no,no,no
46,management,divorced,tertiary,25,no,no,no
31,admin.,divorced,secondary,1890,yes,no,no
45,blue-collar,married,primary,419,no,no,no
32,technician,married,secondary,2693,yes,no,no
36,blue-collar,married,secondary,-231,no,yes,no
51,management,single,tertiary,-55,yes,no,no
34,self-employed,single,tertiary,462,no,no,yes
24,unemployed,single,secondary,119,no,no,no
45,technician,single,secondary,586,no,yes,no
32,blue-collar,single,secondary,228,no,no,no
77,retired,divorced,tertiary,4659,no,no,yes
41,blue-collar,married,primary,168,yes,no,no
37,blue-collar,married,primary,0,yes,no,no
43,blue-collar,married,unknown,-715,yes,no,no
48,admin.,married,unknown,0,yes,no,no
27,technician,single,secondary,769,yes,no,no
33,management,single,tertiary,0,no,no,no
29,admin.,single,secondary,428,yes,yes,no
34,management,single,tertiary,0,no,no,no
52,management,married,tertiary,-970,yes,no,yes
60,management,married,unknown,6313,no,no,no
32,management,divorced,tertiary,948,no,no,no
32,management,single,tertiary,0,yes,no,no
56,services,divorced,unknown,1877,yes,no,no
31,management,single,tertiary,874,yes,no,no
42,admin.,married,secondary,323,yes,yes,no
35,management,married,tertiary,106,no,yes,no
56,retired,married,primary,1906,no,yes,no
48,technician,married,secondary,1152,yes,no,no
46,admin.,married,secondary,179,yes,no,no
37,technician,single,unknown,391,yes,no,no
41,entrepreneur,married,unknown,89,yes,no,no
36,management,single,tertiary,442,yes,yes,no
45,unemployed,divorced,primary,-249,yes,yes,no
55,entrepreneur,married,secondary,8104,no,no,no
39,technician,married,secondary,501,no,no,no
35,technician,divorced,secondary,308,no,no,no
55,admin.,married,secondary,602,no,no,yes
55,technician,married,secondary,273,yes,no,no
27,self-employed,single,secondary,50,no,no,no
34,technician,married,secondary,1641,yes,no,no
34,blue-collar,married,tertiary,20,no,no,no
25,admin.,single,secondary,4590,yes,no,no
41,admin.,single,secondary,-256,no,yes,no
43,services,married,secondary,978,yes,yes,no
28,management,single,tertiary,80,no,no,yes
31,admin.,single,secondary,2104,yes,no,no
78,housemaid,married,secondary,499,no,no,no
45,blue-collar,divorced,secondary,1269,yes,no,no
48,technician,married,tertiary,310,no,no,no
32,blue-collar,single,secondary,1143,yes,yes,no
42,technician,married,secondary,2980,no,no,no
37,management,single,tertiary,37,no,no,no
40,admin.,single,secondary,462,yes,yes,no
32,admin.,married,secondary,1031,yes,no,no
42,management,married,tertiary,9009,no,no,no
43,admin.,married,secondary,-465,yes,yes,no
44,admin.,married,secondary,5181,yes,yes,no
37,admin.,married,secondary,176,yes,no,no
37,unknown,married,unknown,1699,no,no,no
37,admin.,married,tertiary,0,yes,no,no
28,technician,single,tertiary,172,yes,yes,no
32,services,single,secondary,0,no,yes,no
34,admin.,single,secondary,6979,yes,no,no
40,admin.,divorced,secondary,6,no,no,no
34,services,married,secondary,-62,yes,no,no
34,self-employed,married,tertiary,1972,yes,no,no
34,admin.,married,tertiary,899,yes,no,no
37,services,single,secondary,21,yes,no,no
36,technician,married,secondary,23,yes,no,no
56,retired,married,secondary,-1206,yes,no,yes
49,blue-collar,married,primary,0,yes,yes,no
33,self-employed,married,secondary,215,yes,no,no
30,management,single,tertiary,1372,no,no,no
36,services,married,secondary,1981,no,no,no
23,student,single,secondary,9216,no,no,no
57,retired,divorced,secondary,39,yes,no,no
27,blue-collar,single,secondary,5563,yes,no,no
38,services,married,secondary,1,no,yes,no
42,technician,married,tertiary,782,no,no,no
75,retired,married,secondary,3771,no,no,yes
34,technician,single,tertiary,992,yes,no,no
48,technician,married,secondary,1526,no,no,no
35,technician,single,tertiary,2658,yes,no,yes
39,management,divorced,tertiary,1315,yes,no,no
29,blue-collar,single,tertiary,455,no,no,yes
45,technician,single,tertiary,0,yes,no,no
42,technician,married,secondary,2030,yes,yes,no
29,technician,married,secondary,1599,yes,no,no
38,services,single,secondary,-196,yes,no,no
56,retired,married,secondary,1333,no,no,no
36,technician,single,secondary,9149,yes,no,no
25,blue-collar,single,secondary,-350,yes,no,no
38,technician,married,tertiary,432,yes,no,no
57,self-employed,married,secondary,11494,no,no,no
31,management,married,tertiary,-253,no,no,no
42,management,married,tertiary,372,yes,no,yes
45,technician,married,secondary,1410,no,no,no
30,blue-collar,married,secondary,975,yes,no,no
49,blue-collar,married,primary,305,yes,yes,no
49,services,married,secondary,400,no,no,no
53,retired,married,tertiary,-22,yes,no,no
37,technician,married,secondary,4030,yes,no,no
49,blue-collar,married,primary,365,no,no,no
41,self-employed,married,primary,204,no,no,no
54,management,married,primary,1691,yes,no,no
32,services,single,secondary,406,yes,no,no
33,technician,married,secondary,-204,no,no,no
33,technician,married,secondary,359,yes,no,no
36,blue-collar,married,primary,123,yes,no,no
35,technician,married,tertiary,0,yes,yes,no
52,unknown,married,secondary,142,no,no,no
40,entrepreneur,married,tertiary,3571,no,no,no
44,technician,single,secondary,33,yes,no,no
45,blue-collar,single,secondary,0,yes,no,no
30,student,single,secondary,3096,no,no,no
48,technician,divorced,secondary,20,no,no,no
33,blue-collar,married,secondary,3576,yes,no,no
57,technician,married,unknown,206,yes,no,no
57,housemaid,married,primary,7082,no,no,no
51,unemployed,married,tertiary,1634,yes,no,no
34,admin.,single,secondary,1,yes,no,no
50,self-employed,married,tertiary,4012,no,no,no
44,management,married,tertiary,3762,no,no,no
27,admin.,married,secondary,-247,yes,yes,no
50,blue-collar,married,secondary,606,yes,no,no
36,management,married,tertiary,0,yes,no,no
42,management,married,secondary,-189,yes,no,no
32,unemployed,single,secondary,0,no,no,no
42,management,married,tertiary,484,yes,no,no
43,technician,married,secondary,0,no,yes,no
31,management,married,tertiary,395,yes,no,no
32,management,married,tertiary,2349,no,no,no
55,blue-collar,divorced,primary,410,no,yes,no
58,retired,married,primary,3401,yes,no,no
46,blue-collar,married,primary,222,no,no,no
55,blue-collar,married,secondary,989,yes,yes,no
34,management,married,tertiary,415,no,yes,no
28,unemployed,single,secondary,16,no,no,no
42,technician,divorced,tertiary,7190,yes,no,no
29,blue-collar,single,secondary,482,no,yes,yes
54,housemaid,married,secondary,209,yes,yes,no
32,technician,single,secondary,0,no,no,no
39,technician,single,tertiary,5803,no,no,no
53,entrepreneur,married,tertiary,624,no,yes,no
58,technician,married,tertiary,883,no,no,no
40,self-employed,married,secondary,1516,yes,yes,no
29,student,single,secondary,872,yes,no,no
33,technician,married,tertiary,-988,yes,yes,no
38,admin.,single,secondary,902,yes,no,no
56,services,divorced,secondary,1007,no,no,no
40,services,married,secondary,0,yes,no,no
24,blue-collar,single,secondary,174,yes,yes,yes
46,management,married,secondary,12186,no,no,no
35,self-employed,married,secondary,524,yes,no,no
35,blue-collar,single,tertiary,0,yes,no,no
34,technician,married,secondary,4,yes,no,no
35,housemaid,married,tertiary,11219,no,no,no
38,technician,single,tertiary,0,no,no,no
50,blue-collar,married,primary,5776,no,no,no
51,blue-collar,divorced,primary,37,yes,no,no
59,self-employed,married,tertiary,593,no,no,no
32,blue-collar,married,secondary,1148,yes,no,no
37,blue-collar,single,secondary,3561,yes,no,no
42,admin.,divorced,secondary,63,no,no,no
40,student,married,secondary,260,no,no,no
28,technician,single,tertiary,2269,yes,no,no
47,admin.,married,secondary,1060,yes,no,no
27,self-employed,married,secondary,-220,yes,no,no
41,management,married,tertiary,49,yes,no,no
34,admin.,married,tertiary,69,no,yes,yes
50,blue-collar,married,primary,4108,yes,no,yes
47,blue-collar,married,secondary,480,yes,no,no
53,services,married,secondary,4994,no,no,no
53,technician,divorced,secondary,0,yes,yes,no
47,management,married,tertiary,3681,no,no,no
49,entrepreneur,divorced,unknown,-701,yes,no,yes
29,management,married,tertiary,451,no,no,no
45,blue-collar,divorced,primary,-311,yes,no,yes
38,entrepreneur,married,secondary,593,yes,yes,yes
32,blue-collar,married,secondary,759,yes,no,yes
70,retired,divorced,primary,4531,no,no,no
65,retired,divorced,primary,1840,no,no,no
56,blue-collar,married,secondary,345,yes,no,no
35,blue-collar,married,secondary,1287,yes,no,no
56,management,married,unknown,353,no,yes,no
56,technician,married,secondary,205,no,yes,no
49,entrepreneur,married,secondary,687,yes,no,yes
38,unemployed,married,primary,1147,yes,yes,no
35,management,married,tertiary,4286,yes,no,no
38,admin.,married,tertiary,605,no,no,no
49,blue-collar,married,secondary,8545,yes,yes,no
55,management,married,unknown,559,no,no,no
43,blue-collar,single,primary,2,yes,no,no
43,management,married,tertiary,2,no,yes,no
25,admin.,single,tertiary,760,yes,no,yes
30,blue-collar,married,primary,1317,yes,no,no
46,blue-collar,married,secondary,182,no,no,no
50,admin.,married,primary,276,no,yes,no
35,entrepreneur,married,secondary,2971,no,no,yes
26,unemployed,single,secondary,1064,no,no,no
45,admin.,married,unknown,1783,no,no,no
37,blue-collar,married,secondary,-67,no,no,no
60,self-employed,single,tertiary,179,no,yes,no
38,management,married,tertiary,1199,no,no,yes
47,blue-collar,married,primary,214,yes,yes,no
33,technician,married,secondary,6699,no,no,no
51,unemployed,married,secondary,1760,no,yes,no
35,entrepreneur,single,tertiary,145,yes,no,yes
35,unemployed,married,secondary,978,no,no,yes
48,admin.,single,secondary,1150,yes,no,no
37,admin.,married,secondary,121,no,no,no
29,technician,single,tertiary,828,yes,no,no
34,admin.,married,secondary,244,yes,no,no
32,services,married,primary,228,yes,no,yes
30,management,single,tertiary,424,no,no,yes
47,management,divorced,tertiary,447,no,yes,no
33,blue-collar,married,primary,-195,no,no,no
33,management,single,tertiary,1410,yes,no,no
63,retired,married,primary,1084,no,no,no
51,self-employed,divorced,primary,10924,no,no,no
41,management,married,tertiary,832,yes,yes,no
56,retired,married,tertiary,478,no,no,no
60,management,single,tertiary,0,no,yes,no
41,self-employed,single,tertiary,3950,yes,no,no
37,management,single,unknown,504,yes,no,no
36,blue-collar,single,secondary,219,yes,yes,no
57,management,married,tertiary,1602,no,no,no
55,management,married,primary,2587,no,no,yes
44,admin.,married,secondary,0,yes,yes,no
47,self-employed,married,tertiary,2303,yes,no,no
31,blue-collar,married,secondary,1660,yes,no,no
35,management,married,tertiary,32,yes,no,no
39,management,married,tertiary,278,no,yes,no
50,management,married,tertiary,4,no,no,no
29,management,married,tertiary,318,yes,no,no
30,services,single,secondary,209,yes,no,no
46,services,married,secondary,271,yes,no,no
27,management,single,unknown,3196,no,no,no
48,admin.,divorced,secondary,4099,no,no,yes
26,student,single,secondary,2572,yes,no,no
36,management,single,tertiary,339,no,no,no
42,blue-collar,married,primary,0,yes,yes,no
50,housemaid,married,primary,395,yes,no,no
49,blue-collar,married,secondary,2039,yes,no,no
45,management,married,tertiary,5450,no,no,no
23,student,single,secondary,780,no,no,no
38,technician,single,secondary,0,yes,no,no
32,management,single,tertiary,8436,yes,no,no
60,technician,single,primary,11262,no,no,yes
30,entrepreneur,married,secondary,946,yes,no,no
58,housemaid,married,tertiary,497,no,no,no
60,retired,married,primary,55,no,no,no
38,services,married,secondary,-140,no,no,no
51,technician,married,secondary,-379,yes,no,no
42,admin.,married,secondary,-396,yes,no,no
30,services,single,secondary,0,yes,no,no
40,management,married,primary,733,yes,no,no
37,management,married,tertiary,393,yes,no,yes
53,technician,divorced,primary,7290,yes,no,no
27,services,single,secondary,468,yes,no,no
39,blue-collar,married,secondary,0,yes,no,no
39,blue-collar,married,primary,3705,yes,no,no
59,retired,married,tertiary,9676,no,no,yes
37,services,married,secondary,1328,yes,no,no
41,blue-collar,married,primary,8,yes,no,no
45,blue-collar,married,primary,61,no,no,no
48,management,married,tertiary,6613,no,no,no
48,technician,married,secondary,302,yes,no,no
32,blue-collar,married,secondary,1005,no,no,no
35,services,married,secondary,109,yes,no,no
33,management,single,tertiary,1240,yes,no,no
28,blue-collar,single,primary,0,yes,yes,no
64,retired,married,unknown,2923,no,no,no
35,technician,married,secondary,0,no,no,no
33,blue-collar,married,secondary,43,yes,no,no
41,technician,married,secondary,288,yes,no,no
34,admin.,married,secondary,613,yes,no,no
37,technician,single,tertiary,6101,no,no,no
38,blue-collar,married,primary,168,yes,yes,no
39,blue-collar,married,primary,7685,yes,no,no
35,technician,divorced,tertiary,4515,yes,no,no
28,blue-collar,single,secondary,517,no,yes,yes
27,blue-collar,single,secondary,148,no,no,no
48,retired,married,primary,-285,no,yes,no
50,blue-collar,married,secondary,887,no,no,no
45,self-employed,married,secondary,3098,yes,no,no
41,technician,married,tertiary,744,yes,no,no
39,technician,married,secondary,130,no,no,no
44,management,married,secondary,438,yes,no,no
54,admin.,married,secondary,0,no,no,yes
49,management,married,tertiary,322,no,no,no
34,blue-collar,single,secondary,186,no,no,no
75,retired,divorced,tertiary,3810,yes,no,yes
42,management,married,tertiary,0,no,no,no
53,blue-collar,married,secondary,4380,no,no,no
49,management,divorced,tertiary,755,no,no,yes
31,services,single,secondary,2070,no,no,no
45,blue-collar,single,primary,999,no,no,no
39,self-employed,married,secondary,167,yes,yes,no
46,technician,married,secondary,1322,yes,yes,no
42,admin.,divorced,secondary,1076,yes,no,no
37,management,married,tertiary,502,yes,no,no
26,technician,single,tertiary,1216,yes,no,no
37,management,single,tertiary,876,yes,no,no
36,services,single,secondary,342,yes,no,no
29,blue-collar,single,primary,950,yes,no,no
36,blue-collar,married,primary,973,yes,yes,no
26,technician,married,tertiary,3825,yes,no,no
32,blue-collar,married,secondary,2366,yes,no,no
40,management,married,tertiary,542,yes,no,no
53,management,married,primary,995,no,no,no
29,management,married,tertiary,20,yes,no,no
34,technician,single,tertiary,228,yes,no,no
43,blue-collar,married,secondary,130,no,no,no
56,management,married,tertiary,217,no,yes,no
55,entrepreneur,divorced,tertiary,0,no,no,no
31,self-employed,married,tertiary,259,yes,no,no
27,admin.,single,secondary,619,yes,no,no
36,management,married,secondary,644,yes,no,no
44,management,married,tertiary,22,yes,no,no
37,admin.,divorced,tertiary,4303,yes,no,no
30,admin.,single,secondary,239,yes,no,no
42,technician,single,secondary,275,no,no,no
30,management,married,tertiary,1221,yes,no,yes
62,retired,married,secondary,816,no,no,no
24,blue-collar,married,secondary,1222,yes,no,no
31,technician,married,secondary,2363,yes,no,no
66,retired,married,tertiary,2262,no,no,no
47,admin.,married,secondary,2,no,no,no
39,entrepreneur,married,tertiary,2,yes,no,no
35,technician,married,secondary,4508,yes,no,yes
35,admin.,divorced,secondary,-402,yes,no,no
27,technician,married,secondary,1577,yes,yes,no
32,blue-collar,married,secondary,34,yes,no,no
44,management,married,tertiary,795,no,no,no
42,blue-collar,married,secondary,117,yes,no,no
34,self-employed,single,tertiary,5462,no,no,yes
25,services,single,secondary,402,no,yes,no
40,technician,single,secondary,641,no,no,no
43,management,divorced,tertiary,36,no,no,no
55,unemployed,married,tertiary,383,no,no,no
50,blue-collar,married,secondary,283,yes,no,no
45,management,divorced,tertiary,0,no,no,no
35,blue-collar,divorced,secondary,3102,yes,no,no
32,blue-collar,married,secondary,889,yes,no,yes
59,housemaid,married,secondary,0,no,no,no
34,self-employed,married,secondary,-370,yes,no,no
39,management,married,tertiary,-606,yes,no,no
40,management,single,secondary,10378,yes,no,no
36,blue-collar,single,primary,1313,yes,no,no
40,management,married,tertiary,8969,yes,no,no
55,self-employed,married,secondary,-196,yes,no,no
38,entrepreneur,married,secondary,15,yes,no,no
61,admin.,married,secondary,4608,no,no,yes
41,management,married,tertiary,666,yes,no,no
57,blue-collar,married,primary,452,yes,no,no
48,blue-collar,married,secondary,149,yes,no,no
77,retired,married,tertiary,7802,no,no,yes
35,services,married,secondary,1453,yes,no,no
54,blue-collar,married,secondary,1480,yes,no,no
37,management,single,unknown,715,yes,no,no
56,management,single,secondary,237,yes,no,no
40,technician,married,secondary,694,yes,no,no
40,management,married,tertiary,0,no,no,no
54,management,married,tertiary,55,yes,no,no
55,housemaid,married,primary,136,yes,no,no
55,services,divorced,secondary,-404,yes,no,no
52,blue-collar,married,primary,779,yes,no,no
55,blue-collar,single,primary,1187,yes,no,no
33,management,married,tertiary,641,yes,no,no
52,blue-collar,married,unknown,826,yes,no,no
33,services,divorced,secondary,991,yes,no,no
53,admin.,married,secondary,1796,no,no,yes
46,admin.,married,secondary,22,no,no,yes
44,technician,single,secondary,244,yes,no,yes
48,management,divorced,tertiary,1328,yes,no,no
50,housemaid,married,secondary,7317,yes,no,no
34,technician,single,secondary,4943,yes,yes,no
38,technician,single,secondary,258,no,yes,no
42,management,single,tertiary,515,yes,no,no
32,management,single,tertiary,12607,no,no,no
58,admin.,married,secondary,2,yes,yes,no
31,management,married,tertiary,13,no,no,no
19,student,single,primary,103,no,no,yes
41,management,married,tertiary,3872,no,no,no
31,unemployed,married,secondary,296,yes,no,no
52,self-employed,single,primary,217,no,yes,no
42,self-employed,divorced,tertiary,360,yes,no,no
41,blue-collar,single,secondary,428,yes,no,no
30,blue-collar,single,secondary,315,no,no,yes
38,blue-collar,married,secondary,121,yes,yes,no
32,management,married,tertiary,820,yes,no,no
52,technician,married,secondary,195,yes,no,yes
48,management,divorced,tertiary,108,yes,no,no
36,management,married,tertiary,-381,yes,no,no
45,unemployed,divorced,primary,757,no,no,no
34,technician,married,tertiary,691,yes,yes,no
36,blue-collar,married,primary,1925,yes,no,yes
34,management,married,tertiary,902,yes,no,no
61,retired,married,secondary,5207,no,no,no
54,services,married,secondary,0,no,no,no
50,entrepreneur,married,secondary,665,no,no,no
43,admin.,divorced,secondary,738,yes,no,no
47,blue-collar,married,primary,233,no,no,no
45,services,married,secondary,-839,yes,no,no
57,retired,married,primary,5799,no,no,no
27,admin.,married,secondary,1033,yes,no,no
49,unemployed,divorced,secondary,66,no,no,no
43,services,married,primary,2567,yes,no,no
40,management,married,tertiary,1584,yes,no,no
32,services,single,secondary,182,yes,no,no
58,management,married,primary,76,yes,no,no
34,admin.,single,secondary,663,yes,no,no
46,technician,divorced,secondary,3455,yes,no,no
29,blue-collar,married,secondary,15,no,no,no
52,blue-collar,married,primary,1054,no,no,no
45,management,married,tertiary,1529,no,no,no
26,management,single,secondary,63,no,no,no
40,technician,married,tertiary,0,no,no,no
41,admin.,married,secondary,920,yes,yes,no
47,admin.,single,secondary,3696,no,no,yes
27,technician,single,unknown,59,no,no,no
27,services,married,secondary,0,yes,no,no
48,blue-collar,married,secondary,157,yes,no,no
49,admin.,married,secondary,2465,no,no,no
35,blue-collar,married,primary,0,yes,no,no
47,self-employed,married,secondary,2,no,no,no
54,management,married,tertiary,0,no,no,no
39,management,single,tertiary,12437,no,no,no
28,student,single,secondary,378,yes,no,no
54,blue-collar,married,primary,211,no,no,no
34,technician,married,secondary,-228,yes,no,no
63,retired,married,secondary,2747,no,no,no
42,self-employed,married,tertiary,1932,yes,no,no
43,technician,single,secondary,11269,no,no,no
37,admin.,married,secondary,1314,yes,no,no
55,blue-collar,married,primary,2275,no,no,no
43,management,single,tertiary,1304,no,no,yes
41,blue-collar,married,secondary,720,no,yes,yes
47,technician,divorced,secondary,2914,yes,no,no
34,technician,married,secondary,1464,yes,no,no
28,student,single,secondary,11555,no,no,no
36,services,married,secondary,-302,yes,no,no
50,technician,married,secondary,2497,yes,no,no
35,blue-collar,married,secondary,-339,yes,no,no
40,technician,married,secondary,56,yes,yes,no
26,self-employed,single,tertiary,211,no,no,no
36,management,divorced,tertiary,3611,yes,no,no
59,unemployed,married,primary,0,no,no,no
28,student,single,secondary,459,no,no,no
46,entrepreneur,married,unknown,242,yes,no,no
50,self-employed,married,secondary,1138,no,no,no
53,management,married,tertiary,1319,yes,no,no
81,retired,married,secondary,1,no,no,no
35,services,divorced,secondary,67,yes,no,no
58,retired,married,unknown,937,no,no,no
44,services,married,secondary,0,yes,yes,no
38,management,married,tertiary,-558,yes,no,no
49,blue-collar,married,secondary,171,no,no,no
33,technician,single,tertiary,696,no,yes,no
29,management,married,tertiary,361,yes,yes,no
28,technician,single,secondary,227,no,no,yes
31,admin.,married,secondary,236,yes,yes,no
33,management,single,tertiary,-53,no,no,no
52,technician,married,secondary,192,yes,no,no
43,management,divorced,tertiary,38,yes,no,no
32,self-employed,single,secondary,518,yes,no,no
36,self-employed,married,tertiary,16,yes,yes,no
41,blue-collar,married,secondary,-256,yes,no,no
43,blue-collar,married,secondary,105,no,yes,no
45,self-employed,married,tertiary,334,no,no,no
39,technician,married,secondary,1048,no,yes,no
41,services,married,secondary,108,yes,yes,no
31,technician,married,secondary,660,no,no,no
37,unemployed,single,tertiary,0,yes,no,no
28,entrepreneur,married,unknown,1034,no,no,no
47,housemaid,married,primary,201,yes,no,no
37,housemaid,married,primary,189,no,no,no
60,retired,divorced,unknown,-49,yes,no,no
43,technician,divorced,secondary,1413,yes,no,no
58,retired,divorced,tertiary,264,yes,yes,no
52,entrepreneur,married,tertiary,54,yes,yes,no
50,blue-collar,married,primary,12519,yes,no,no
32,services,single,secondary,2881,no,no,yes
42,blue-collar,married,primary,0,yes,no,no
31,admin.,married,secondary,88,yes,yes,no
28,blue-collar,married,secondary,1020,yes,no,no
36,technician,divorced,tertiary,119,no,no,no
51,unemployed,single,tertiary,1594,no,no,no
46,technician,married,tertiary,342,yes,yes,no
50,services,single,secondary,72,no,no,no
32,blue-collar,married,secondary,14,yes,no,no
26,entrepreneur,single,tertiary,81,no,no,no
41,self-employed,married,tertiary,231,no,no,yes
39,technician,married,tertiary,1161,yes,no,no
31,blue-collar,married,secondary,-45,yes,no,no
28,management,single,tertiary,231,yes,yes,no
31,management,single,secondary,36,no,no,no
30,technician,married,tertiary,1570,yes,no,no
35,technician,married,tertiary,7050,no,no,yes
33,blue-collar,married,primary,3704,yes,no,no
30,technician,single,tertiary,6619,yes,no,no
32,blue-collar,single,secondary,-84,yes,no,no
40,management,single,tertiary,1509,no,no,no
31,self-employed,married,tertiary,1134,no,no,no
36,technician,married,secondary,146,yes,yes,no
33,management,single,tertiary,9449,yes,no,no
57,retired,married,secondary,374,yes,yes,no
45,technician,married,secondary,88,no,no,no
59,management,married,tertiary,2764,no,no,no
30,management,single,tertiary,2,yes,yes,yes
33,technician,married,tertiary,8023,no,no,no
52,blue-collar,married,secondary,289,yes,no,no
83,retired,married,secondary,0,no,no,no
58,self-employed,divorced,tertiary,1382,no,no,yes
33,management,divorced,tertiary,280,no,yes,no
41,blue-collar,divorced,primary,2195,yes,no,no
31,self-employed,married,secondary,33,no,no,no
35,blue-collar,divorced,secondary,275,no,yes,no
27,management,single,tertiary,703,yes,no,yes
57,admin.,divorced,unknown,887,no,no,no
56,unknown,married,unknown,0,no,no,no
53,admin.,single,secondary,1178,yes,no,no
39,management,married,tertiary,2763,yes,no,yes
32,entrepreneur,single,tertiary,890,yes,yes,no
46,self-employed,married,secondary,548,no,no,yes
56,technician,married,tertiary,272,no,no,no
46,management,divorced,tertiary,6269,yes,no,no
29,entrepreneur,married,secondary,178,yes,no,no
60,management,married,primary,252,yes,yes,no
